symbol,sina_symbol,code,exchange,name,board
600000.SH,sh600000,600000,SH,浦发银行,沪市主板
600004.SH,sh600004,600004,SH,白云机场,沪市主板
600006.SH,sh600006,600006,SH,东风股份,沪市主板
600007.SH,sh600007,600007,SH,XD中国国,沪市主板
600008.SH,sh600008,600008,SH,首创环保,沪市主板
600009.SH,sh600009,600009,SH,上海机场,沪市主板
600010.SH,sh600010,600010,SH,包钢股份,沪市主板
600011.SH,sh600011,600011,SH,华能国际,沪市主板
600012.SH,sh600012,600012,SH,皖通高速,沪市主板
600015.SH,sh600015,600015,SH,华夏银行,沪市主板
600016.SH,sh600016,600016,SH,民生银行,沪市主板
600017.SH,sh600017,600017,SH,日照港,沪市主板
600018.SH,sh600018,600018,SH,上港集团,沪市主板
600019.SH,sh600019,600019,SH,宝钢股份,沪市主板
600020.SH,sh600020,600020,SH,中原高速,沪市主板
600021.SH,sh600021,600021,SH,XD上海电,沪市主板
600022.SH,sh600022,600022,SH,山东钢铁,沪市主板
600023.SH,sh600023,600023,SH,浙能电力,沪市主板
600025.SH,sh600025,600025,SH,华能水电,沪市主板
600026.SH,sh600026,600026,SH,中远海能,沪市主板
600027.SH,sh600027,600027,SH,XD华电国,沪市主板
600028.SH,sh600028,600028,SH,中国石化,沪市主板
600029.SH,sh600029,600029,SH,南方航空,沪市主板
600030.SH,sh600030,600030,SH,中信证券,沪市主板
600031.SH,sh600031,600031,SH,三一重工,沪市主板
600032.SH,sh600032,600032,SH,浙江新能,沪市主板
600033.SH,sh600033,600033,SH,福建高速,沪市主板
600035.SH,sh600035,600035,SH,XD楚天高,沪市主板
600036.SH,sh600036,600036,SH,招商银行,沪市主板
600037.SH,sh600037,600037,SH,歌华有线,沪市主板
600038.SH,sh600038,600038,SH,中直股份,沪市主板
600039.SH,sh600039,600039,SH,四川路桥,沪市主板
600048.SH,sh600048,600048,SH,保利发展,沪市主板
600050.SH,sh600050,600050,SH,XD中国联,沪市主板
600051.SH,sh600051,600051,SH,宁波联合,沪市主板
600052.SH,sh600052,600052,SH,东望时代,沪市主板
600053.SH,sh600053,600053,SH,*ST九鼎,沪市主板
600054.SH,sh600054,600054,SH,黄山旅游,沪市主板
600055.SH,sh600055,600055,SH,万东医疗,沪市主板
600056.SH,sh600056,600056,SH,XD中国医,沪市主板
600057.SH,sh600057,600057,SH,厦门象屿,沪市主板
600058.SH,sh600058,600058,SH,五矿发展,沪市主板
600059.SH,sh600059,600059,SH,古越龙山,沪市主板
600060.SH,sh600060,600060,SH,海信视像,沪市主板
600061.SH,sh600061,600061,SH,国投资本,沪市主板
